Feature,Coefficient_Magnitude,Is_Selected
Elevation,6.850060866608122,True
Total_Distance,3.3289279085616474,True
Horizontal_Distance_To_Fire_Points,2.12317178171854,True
Vertical_Distance_To_Hydrology,1.8755787439311375,True
Horizontal_Distance_To_Roadways,1.8691349693802426,True
Wilderness_Area4,1.6973284800487853,True
Wilderness_Area1,1.603299131278379,True
Mean_Hillshade,1.4047743505543109,True
Hillshade_Noon,1.0440223998825233,True
Aspect_North_South,1.00083719077917,True
Elevation_Slope_Interaction,0.9863773625580786,True
Soil_Type29,0.8934860251205186,True
Hillshade_3pm,0.8716772641959656,True
Slope,0.8403880128525401,True
Soil_Type10,0.81791732142979,True
Soil_Type4,0.7615593591730644,True
Wilderness_Area2,0.7355666645659423,True
Hydrology_Slope,0.7264564278326826,True
Soil_Type12,0.719567384484645,True
Euclidean_Distance_To_Hydrology,0.7062894278620206,True
Soil_Type33,0.661565268320763,True
Soil_Type22,0.6537747666651554,True
Horizontal_Distance_To_Hydrology,0.6527135834016374,True
Soil_Type30,0.6328178958952623,True
Wilderness_Area3,0.5969684912431523,True
Soil_Type2,0.5596840921016202,True
Soil_Type32,0.5031052883989078,True
Hillshade_9am,0.4639109033402512,True
Distance_To_Hydrology_To_Roadways_Ratio,0.44758746793192006,True
Aspect_East_West,0.4358849908302116,True
Soil_Type3,0.4190084718222736,True
Soil_Type6,0.41583341868681006,True
Soil_Type11,0.40869578875076756,True
Soil_Type39,0.40531762816581735,True
Soil_Type1,0.3754172130111613,True
Soil_Type31,0.3667089497461903,True
Soil_Type38,0.3450911152351167,True
Soil_Type13,0.33300567345762583,True
Soil_Type23,0.321694860378213,True
Soil_Type24,0.31211324010572955,True
Soil_Type5,0.28744909061700163,True
Hillshade_Range,0.2631048938211568,True
Soil_Type20,0.24241146549693343,True
Hillshade_Variance,0.21953261150190503,True
Soil_Type37,0.20825109399823472,True
Soil_Type26,0.20539826545598266,True
Soil_Type16,0.20242739013143984,True
Soil_Type17,0.20147784498919932,True
Soil_Type28,0.19564959280819103,True
Soil_Type18,0.1875593469822042,True
Soil_Type9,0.1831469655664189,True
Soil_Type19,0.17764014637551043,True
Soil_Type14,0.17747802557531303,True
Soil_Type40,0.16222375277856615,True
Soil_Type27,0.14584769023545072,True
Soil_Type35,0.13714897757186267,True
Soil_Type34,0.12367985507192565,True
Aspect,0.11363556998588431,True
Soil_Type25,0.10290870507532951,True
Distance_To_Fire_To_Hydrology_Ratio,0.10029767142636965,True
Soil_Type21,0.09859750743581958,True
Soil_Type7,0.05703403450922068,True
Soil_Type36,0.03452203241451216,True
Soil_Type8,0.02604805046738587,True
Soil_Type15,0.016138160225698014,True
Wilderness_Count,0.0,False
Soil_Count,0.0,False
